comuna_code,comuna,barrio_code,barrio_population_name,population_2026,polygon_barrio_name,match_method,imcv_ampi_2023
15,Guayabal,1507,Campo Amor,7431,CAMPO AMOR,exact,98.33
15,Guayabal,1509,Cristo Rey,14285,CRISTO REY,exact,98.33
15,Guayabal,1510,Guayabal,2173,GUAYABAL,exact,98.33
15,Guayabal,1511,La Colina,18437,LA COLINA,exact,98.33
16,Belén,1601,Fátima,8870,FÁTIMA,exact,104.58
16,Belén,1602,Rosales,7106,ROSALES,exact,104.58
16,Belén,1603,Belén,9269,BELEN,exact,104.58
16,Belén,1604,Granada,3688,GRANADA,exact,104.58
16,Belén,1605,San Bernardo,21902,SAN BERNARDO,exact,104.58
16,Belén,1606,Las Playas,10802,LAS PLAYAS,exact,104.58
16,Belén,1607,Diego Echavarría,5896,DIEGO ECHAVARRÍA,exact,104.58
16,Belén,1608,La Mota,11106,LA MOTA,exact,104.58
16,Belén,1609,La Hondonada,16396,LA HONDONADA,exact,104.58
16,Belén,1610,El Rincón,25017,EL RINCÓN,exact,104.58
16,Belén,1611,La Loma de Los Bernal,18522,LOMA DE LOS BERNAL,explicit_alias,104.58
16,Belén,1612,La Gloria,12992,LA GLORIA,exact,104.58
16,Belén,1613,Altavista,14235,ALTAVISTA,exact,104.58
16,Belén,1614,La Palma,6091,LA PALMA,exact,104.58
16,Belén,1615,Los Alpes,6556,LOS ALPES,exact,104.58
16,Belén,1616,Las Violetas,14222,LAS VIOLETAS,exact,104.58
16,Belén,1617,Las Mercedes,10797,LAS MERCEDES,exact,104.58
16,Belén,1618,Nueva Villa del Aburrá,2940,NUEVA VILLA DE ABURRA,explicit_alias,104.58
16,Belén,1619,Miravalle,4284,MIRAVALLE,exact,104.58
16,Belén,1620,El Nogal-Los Almendros,3483,EL NOGAL  LOS ALMENDROS,exact,104.58
16,Belén,1621,Cerro Nutibara,2325,CERRO NUTIBARA,exact,104.58
