BARRIO,barrio_code,comuna_name,population_2026,hazard_weighted_population_proxy_2026,imcv_ampi_2023,priority_exposure,rank_exposure,priority_balanced,rank_balanced,priority_equity,rank_equity,rank_hazard_only
PERPETUO SOCORRO,1012,La Candelaria,77.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
BOMBONA No.1,1015,La Candelaria,7402.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
CALLE NUEVA,1011,La Candelaria,284.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
SAN BENITO,1006,La Candelaria,652.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
VILLA NUEVA,1018,La Candelaria,4628.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
ESTACION VILLA,1005,La Candelaria,664.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
LOS ANGELES,1017,La Candelaria,6597.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
BOSTON,1016,La Candelaria,15220.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
JESUS NAZARENO,1003,La Candelaria,2148.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
EL CHAGUALO,1004,La Candelaria,6580.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
LA CANDELARIA,1019,La Candelaria,3414.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
CORAZON DEJESUS,1008,La Candelaria,2659.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
GUAYAQUIL,1007,La Candelaria,760.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
SAN DIEGO,1020,La Candelaria,8715.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
LAS PALMAS,1014,La Candelaria,8854.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
NUEVA VILLA DE ABURRA,1618,Belén,2940.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
